MX0411_TGCTTT	MX0411_TCAAGT	MX0404_ATGTTT	MX0404_ACATCG	MX0781_TAGGAT	MX0781_CTATCT	MX0411_GTAGCC	MX0405_CGTGAT	MX0405_CAAGTT	MX0781_ATCAGT	MX0405_ATTGGC	MX0405_CTGATC	MX0781_TCTTCT	MX0404_CTGATC	MX0404_GATCTG	MX0405_CGTACG	MX0404_TCAAGT	MX0404_ATTGGC	MX0781_GAGAGT	MX0781_AATTAT	MX0781_GCCGGT	MX0404_TGCTTT	MX0404_TACAAG	MX0404_CGTGAT	MX0781_AGATGT	MX0405_ACATCG	MX0781_CCGTAT	MX0781_CTGGGT	MX0404_AAGCTA	MX0404_TGGTCA	MX0781_TATCGT	MX0404_GTAGCC	MX0781_GTTTGT	MX0781_AGCGCT	MX0411_TACAAG	MX0781_GATGCT	MX0781_CGGCCT	MX0405_AAGCTA
hsa-mir-3917.MIMAT0018191	1.29893742210668	0	1.1144300618121	1.28612589659538	1.75315575172009	3.74887913224826	4.04176175456594	2.11649981037213	1.42785772296368	4.18361256030694	1.73167630549742	0	4.58706795254105	1.86918623089765	1.23474446888475	0	0.481085928519716	0	4.37112121947305	5.46600994648417	5.10286907945117	0	2.71103947906738	0.162311557160511	5.8571700544907	1.07655730775137	6.19786884591739	4.90013330800066	0.050337049771299	1.31247375182284	2.83183725267015	3.42398714582871	3.2478914961102	5.36285636364521	2.34012550995505	5.10286907945117	2.42435818044503	1.78078825859343
hsa-mir-363.MIMAT0000707	1.9887095331899	1.33887233462121	4.48569443397015	5.02870465214168	7.4195412385589	6.68552537164245	3.16665471288346	6.38532432274285	4.82960580875822	6.44532203753551	6.75983095324874	4.30789458302452	6.75983095324874	3.10641292890555	1.80855232121385	3.88586488468386	3.68627950669885	2.91755829570587	7.01438728756657	5.61027655241916	6.19786884591739	0.677594553440283	9.09637657625615	2.35945403347946	5.61027655241916	3.02686773071828	5.71203383873304	5.52416051452527	3.59997969306866	2.03377757576436	6.38532432274285	1.73855363925464	6.75983095324874	7.65062169757905	0	6.87184914955783	7.56386017266386	2.35945403347946
hsa-mir-486.MIMAT0004762	0	2.52162672936747	2.86754338445654	0	5.71203383873304	4.84981966343798	1.88369573314316	0	4.2092244820508	5.07586487793215	0.945540330375464	0.39699540871078	4.5329591242796	0.0379395429862112	0	2.13397483193098	3.34127917043243	0	4.39519867210703	4.41940342842718	3.1277946319525	1.69591049400043	0.286477356393895	0.719486577513736	3.61854596473257	0	4.61354339166876	5.15173103583758	1.71019784043481	0	3.48590333385633	0	3.90528228775382	3.84679768310878	4.84981966343798	4.43938804145645	6.01629443927773	0
hsa-mir-3934.MIMAT0022975	0	1.3972181941585	0	0	3.76967966899176	3.57463089556795	2.03377757576436	2.81283529731574	0	3.20797982662744	0	0.355338987969343	4.16138103559415	0	0	0	0	1.41675521143345	3.86734761634075	3.76967966899176	3.02686773071828	2.35945403347946	0	1.61249146960535	4.16138103559415	0.0550875662049848	3.46707410583783	4.39519867210703	1.01838043037826	0.760694108669783	3.2875971440001	0.921424807760461	2.18040811943543	4.90013330800066	2.45616849240664	3.46707410583783	4.23729318391103	2.79458020291909
hsa-mir-138-1.MIMAT0000430	6.41356815596353	4.82960580875822	0	3.63666650967008	5.953392830647	5.92189774110856	1.13908122653669	2.45616849240664	2.29694810440344	5.61027655241916	3.02686773071828	3.26826045060664	6.64983386025532	3.08836595274037	0	0.714168547317682	1.35051730620481	6.35217132377477	6.54991757576404	5.02870465214168	5.17568219815355	2.93524042970858	0	7.1346516755176	6.26043369316696	1.67624365080365	5.88861161605608	5.36285636364521	4.28720632415505	0.84674300640066	4.68153616894904	0.636210407482122	5.68501431458998	6.57887371532712	0	6.35217132377477	5.15173103583758	4.90013330800066
hsa-mir-3681.MIMAT0018108	0	5.00146876623438	3.14785144228149	3.82830409775339	4.41940342842718	4.3279583334875	0	0.151311686148915	0	4.5329591242796	1.32566858451139	2.13397483193098	5.28941620968993	0	0	0	0	3.61854596473257	4.16138103559415	5.3148690594412	3.71009967444037	2.76304055244713	0	7.3009351843519	4.60036640384493	0	4.41940342842718	5.00146876623438	3.48590333385633	0.714168547317682	3.50811544167199	1.80187894824591	3.92907993924791	6.26043369316696	5.49459297378087	5.46600994648417	4.84981966343798	0
NOVELM00288.NOVELM00288M	3.10641292890555	0	0.653807341246556	0.666371262050619	3.66233291514979	4.4623167635615	0	2.44074823786081	1.64242389616278	3.86734761634075	1.05361669891364	0.512325761785751	3.16665471288346	2.05174226303526	3.48590333385633	0.824536526049321	3.13785789136457	1.83694573237153	5.26137655770001	4.23729318391103	3.90528228775382	0	1.75315575172009	4.13826059299348	3.59997969306866	2.92642645227719	4.13826059299348	4.65702943778433	1.53046156307342	2.55380123487529	4.16138103559415	2.25473611509164	3.46707410583783	2.71103947906738	1.45357334003534	4.78279831446098	3.2875971440001	1.13908122653669
hsa-mir-138-1.MIMAT0004607	4.08837067125183	0.677594553440283	0	1.35051730620481	3.73001122219984	4.43938804145645	0	0	0	4.04176175456594	1.50484993457407	0.958539929958002	4.28720632415505	0	0	0	0	3.25811192091226	4.58706795254105	2.60586904883001	3.73001122219984	0	0	3.40225088520059	3.84679768310878	0	2.31003214161126	3.20797982662744	0.958539929958002	0	3.84679768310878	0	2.37424924387752	3.82830409775339	0	4.02087175086818	3.80696412350747	0.530420147673379
hsa-mir-27a.MIMAT0004501	2.81283529731574	2.25473611509164	4.06474917461318	4.06474917461318	2.88259287055787	4.82960580875822	3.34127917043243	1.13908122653669	3.46707410583783	3.76967966899176	2.83183725267015	2.11649981037213	5.33663725144459	5.68501431458998	2.06890153274253	2.81283529731574	1.56998207732077	0	4.65702943778433	6.13976848673924	3.46707410583783	3.50811544167199	0.455005958544011	0	5.88861161605608	3.68627950669885	7.26670355179801	6.68552537164245	4.02087175086818	2.81283529731574	4.56493905462503	3.97618851939609	6.61516149033531	6.16641119920204	0	5.68501431458998	4.61354339166876	2.62324908806629
hsa-mir-23a.MIMAT0004496	0.620876537601064	0.932437423644291	1.34470656969051	0.970803766572844	2.2073144970719	3.2875971440001	0	0	0.976042470484565	0.760694108669783	0.390833892938815	0.329393731556835	3.38257887967385	2.09096217884179	1.16319629126866	1.5996657946374	2.10785002576973	0.141038377219154	3.10641292890555	5.07586487793215	3.76967966899176	2.29694810440344	0	0	4.08837067125183	2.83183725267015	4.78279831446098	4.80870302775104	1.3972181941585	2.23831496697472	2.76304055244713	0.994607341120899	5.07586487793215	2.29694810440344	0	4.18361256030694	4.37112121947305	1.2295347880482
